name,municipality,province,region
Alag,Baco,Oriental Mindoro,MIMAROPA
Bangkatan,Baco,Oriental Mindoro,MIMAROPA
Baras,Baco,Oriental Mindoro,MIMAROPA
Bayanan,Baco,Oriental Mindoro,MIMAROPA
Burbuli,Baco,Oriental Mindoro,MIMAROPA
Catwiran I,Baco,Oriental Mindoro,MIMAROPA
Catwiran II,Baco,Oriental Mindoro,MIMAROPA
Dulangan I,Baco,Oriental Mindoro,MIMAROPA
Dulangan II,Baco,Oriental Mindoro,MIMAROPA
Lantuyang,Baco,Oriental Mindoro,MIMAROPA
Lumang Bayan,Baco,Oriental Mindoro,MIMAROPA
Malapad,Baco,Oriental Mindoro,MIMAROPA
Mangangan I,Baco,Oriental Mindoro,MIMAROPA
Mangangan II,Baco,Oriental Mindoro,MIMAROPA
Mayabig,Baco,Oriental Mindoro,MIMAROPA
Pambisan,Baco,Oriental Mindoro,MIMAROPA
Poblacion,Baco,Oriental Mindoro,MIMAROPA
Pulang-Tubig,Baco,Oriental Mindoro,MIMAROPA
Putican-Cabulo,Baco,Oriental Mindoro,MIMAROPA
San Andres,Baco,Oriental Mindoro,MIMAROPA
San Ignacio,Baco,Oriental Mindoro,MIMAROPA
Santa Cruz,Baco,Oriental Mindoro,MIMAROPA
Santa Rosa I,Baco,Oriental Mindoro,MIMAROPA
Santa Rosa II,Baco,Oriental Mindoro,MIMAROPA
Tabon-tabon,Baco,Oriental Mindoro,MIMAROPA
Tagumpay,Baco,Oriental Mindoro,MIMAROPA
Water,Baco,Oriental Mindoro,MIMAROPA
Alcadesma,Bansud,Oriental Mindoro,MIMAROPA
Bato,Bansud,Oriental Mindoro,MIMAROPA
Conrazon,Bansud,Oriental Mindoro,MIMAROPA
Malo,Bansud,Oriental Mindoro,MIMAROPA
Manihala,Bansud,Oriental Mindoro,MIMAROPA
Pag-asa,Bansud,Oriental Mindoro,MIMAROPA
Poblacion,Bansud,Oriental Mindoro,MIMAROPA
Proper Bansud,Bansud,Oriental Mindoro,MIMAROPA
Proper Tiguisan,Bansud,Oriental Mindoro,MIMAROPA
Rosacara,Bansud,Oriental Mindoro,MIMAROPA
Salcedo,Bansud,Oriental Mindoro,MIMAROPA
Sumagui,Bansud,Oriental Mindoro,MIMAROPA
Villa Pag-asa,Bansud,Oriental Mindoro,MIMAROPA
Anilao,Bongabong,Oriental Mindoro,MIMAROPA
Aplaya,Bongabong,Oriental Mindoro,MIMAROPA
Bagumbayan I,Bongabong,Oriental Mindoro,MIMAROPA
Bagumbayan II,Bongabong,Oriental Mindoro,MIMAROPA
Batangan,Bongabong,Oriental Mindoro,MIMAROPA
Bukal,Bongabong,Oriental Mindoro,MIMAROPA
Camantigue,Bongabong,Oriental Mindoro,MIMAROPA
Carmundo,Bongabong,Oriental Mindoro,MIMAROPA
Cawayan,Bongabong,Oriental Mindoro,MIMAROPA
Dayhagan,Bongabong,Oriental Mindoro,MIMAROPA
Formon,Bongabong,Oriental Mindoro,MIMAROPA
Hagan,Bongabong,Oriental Mindoro,MIMAROPA
Hagupit,Bongabong,Oriental Mindoro,MIMAROPA
Ipil,Bongabong,Oriental Mindoro,MIMAROPA
Kaligtasan,Bongabong,Oriental Mindoro,MIMAROPA
Labasan,Bongabong,Oriental Mindoro,MIMAROPA
Labonan,Bongabong,Oriental Mindoro,MIMAROPA
Libertad,Bongabong,Oriental Mindoro,MIMAROPA
Lisap,Bongabong,Oriental Mindoro,MIMAROPA
Luna,Bongabong,Oriental Mindoro,MIMAROPA
Malitbog,Bongabong,Oriental Mindoro,MIMAROPA
Mapang,Bongabong,Oriental Mindoro,MIMAROPA
Masaguisi,Bongabong,Oriental Mindoro,MIMAROPA
Mina de Oro,Bongabong,Oriental Mindoro,MIMAROPA
Morente,Bongabong,Oriental Mindoro,MIMAROPA
Ogbot,Bongabong,Oriental Mindoro,MIMAROPA
Orconuma,Bongabong,Oriental Mindoro,MIMAROPA
Poblacion,Bongabong,Oriental Mindoro,MIMAROPA
Polusahi,Bongabong,Oriental Mindoro,MIMAROPA
Sagana,Bongabong,Oriental Mindoro,MIMAROPA
San Isidro,Bongabong,Oriental Mindoro,MIMAROPA
San Jose,Bongabong,Oriental Mindoro,MIMAROPA
San Juan,Bongabong,Oriental Mindoro,MIMAROPA
Santa Cruz,Bongabong,Oriental Mindoro,MIMAROPA
Sigange,Bongabong,Oriental Mindoro,MIMAROPA
Tawas,Bongabong,Oriental Mindoro,MIMAROPA
Bagong Sikat,Bulalacao,Oriental Mindoro,MIMAROPA
Balatasan,Bulalacao,Oriental Mindoro,MIMAROPA
Benli,Bulalacao,Oriental Mindoro,MIMAROPA
Cabugao,Bulalacao,Oriental Mindoro,MIMAROPA
Cambunang,Bulalacao,Oriental Mindoro,MIMAROPA
Campaasan,Bulalacao,Oriental Mindoro,MIMAROPA
Maasin,Bulalacao,Oriental Mindoro,MIMAROPA
Maujao,Bulalacao,Oriental Mindoro,MIMAROPA
Milagrosa,Bulalacao,Oriental Mindoro,MIMAROPA
Nasukob,Bulalacao,Oriental Mindoro,MIMAROPA
Poblacion,Bulalacao,Oriental Mindoro,MIMAROPA
San Francisco,Bulalacao,Oriental Mindoro,MIMAROPA
San Isidro,Bulalacao,Oriental Mindoro,MIMAROPA
San Juan,Bulalacao,Oriental Mindoro,MIMAROPA
San Roque,Bulalacao,Oriental Mindoro,MIMAROPA
Balingayan,Calapan,Oriental Mindoro,MIMAROPA
Balite,Calapan,Oriental Mindoro,MIMAROPA
Baruyan,Calapan,Oriental Mindoro,MIMAROPA
Batino,Calapan,Oriental Mindoro,MIMAROPA
Bayanan I,Calapan,Oriental Mindoro,MIMAROPA
Bayanan II,Calapan,Oriental Mindoro,MIMAROPA
Biga,Calapan,Oriental Mindoro,MIMAROPA
Bondoc,Calapan,Oriental Mindoro,MIMAROPA
Bucayao,Calapan,Oriental Mindoro,MIMAROPA
Buhuan,Calapan,Oriental Mindoro,MIMAROPA
Bulusan,Calapan,Oriental Mindoro,MIMAROPA
Calero,Calapan,Oriental Mindoro,MIMAROPA
Camansihan,Calapan,Oriental Mindoro,MIMAROPA
Camilmil,Calapan,Oriental Mindoro,MIMAROPA
Canubing I,Calapan,Oriental Mindoro,MIMAROPA
Canubing II,Calapan,Oriental Mindoro,MIMAROPA
Comunal,Calapan,Oriental Mindoro,MIMAROPA
Guinobatan,Calapan,Oriental Mindoro,MIMAROPA
Gulod,Calapan,Oriental Mindoro,MIMAROPA
Gutad,Calapan,Oriental Mindoro,MIMAROPA
Ibaba East,Calapan,Oriental Mindoro,MIMAROPA
Ibaba West,Calapan,Oriental Mindoro,MIMAROPA
Ilaya,Calapan,Oriental Mindoro,MIMAROPA
Lalud,Calapan,Oriental Mindoro,MIMAROPA
Lazareto,Calapan,Oriental Mindoro,MIMAROPA
Libis,Calapan,Oriental Mindoro,MIMAROPA
Lumang Bayan,Calapan,Oriental Mindoro,MIMAROPA
Mahal na Pangalan,Calapan,Oriental Mindoro,MIMAROPA
Maidlang,Calapan,Oriental Mindoro,MIMAROPA
Malad,Calapan,Oriental Mindoro,MIMAROPA
Malamig,Calapan,Oriental Mindoro,MIMAROPA
Managpi,Calapan,Oriental Mindoro,MIMAROPA
Masipit,Calapan,Oriental Mindoro,MIMAROPA
Nag-iba I,Calapan,Oriental Mindoro,MIMAROPA
Nag-iba II,Calapan,Oriental Mindoro,MIMAROPA
Navotas,Calapan,Oriental Mindoro,MIMAROPA
Pachoca,Calapan,Oriental Mindoro,MIMAROPA
Palhi,Calapan,Oriental Mindoro,MIMAROPA
Panggalaan,Calapan,Oriental Mindoro,MIMAROPA
Parang,Calapan,Oriental Mindoro,MIMAROPA
Patas,Calapan,Oriental Mindoro,MIMAROPA
Personas,Calapan,Oriental Mindoro,MIMAROPA
Putingtubig,Calapan,Oriental Mindoro,MIMAROPA
Salong,Calapan,Oriental Mindoro,MIMAROPA
San Antonio,Calapan,Oriental Mindoro,MIMAROPA
San Vicente Central,Calapan,Oriental Mindoro,MIMAROPA
San Vicente East,Calapan,Oriental Mindoro,MIMAROPA
San Vicente North,Calapan,Oriental Mindoro,MIMAROPA
San Vicente South,Calapan,Oriental Mindoro,MIMAROPA
San Vicente West,Calapan,Oriental Mindoro,MIMAROPA
Santa Cruz,Calapan,Oriental Mindoro,MIMAROPA
Santa Isabel,Calapan,Oriental Mindoro,MIMAROPA
Santa Maria Village,Calapan,Oriental Mindoro,MIMAROPA
Santa Rita,Calapan,Oriental Mindoro,MIMAROPA
Santo Niño,Calapan,Oriental Mindoro,MIMAROPA
Sapul,Calapan,Oriental Mindoro,MIMAROPA
Silonay,Calapan,Oriental Mindoro,MIMAROPA
Suqui,Calapan,Oriental Mindoro,MIMAROPA
Tawagan,Calapan,Oriental Mindoro,MIMAROPA
Tawiran,Calapan,Oriental Mindoro,MIMAROPA
Tibag,Calapan,Oriental Mindoro,MIMAROPA
Wawa,Calapan,Oriental Mindoro,MIMAROPA
Agos,Gloria,Oriental Mindoro,MIMAROPA
Agsalin,Gloria,Oriental Mindoro,MIMAROPA
Alma Villa,Gloria,Oriental Mindoro,MIMAROPA
Andres Bonifacio,Gloria,Oriental Mindoro,MIMAROPA
Balete,Gloria,Oriental Mindoro,MIMAROPA
Banus,Gloria,Oriental Mindoro,MIMAROPA
Banutan,Gloria,Oriental Mindoro,MIMAROPA
Bulaklakan,Gloria,Oriental Mindoro,MIMAROPA
Buong Lupa,Gloria,Oriental Mindoro,MIMAROPA
Gaudencio Antonino,Gloria,Oriental Mindoro,MIMAROPA
Guimbonan,Gloria,Oriental Mindoro,MIMAROPA
Kawit,Gloria,Oriental Mindoro,MIMAROPA
Lucio Laurel,Gloria,Oriental Mindoro,MIMAROPA
Macario Adriatico,Gloria,Oriental Mindoro,MIMAROPA
Malamig,Gloria,Oriental Mindoro,MIMAROPA
Malayong,Gloria,Oriental Mindoro,MIMAROPA
Maligaya,Gloria,Oriental Mindoro,MIMAROPA
Malubay,Gloria,Oriental Mindoro,MIMAROPA
Manguyang,Gloria,Oriental Mindoro,MIMAROPA
Maragooc,Gloria,Oriental Mindoro,MIMAROPA
Mirayan,Gloria,Oriental Mindoro,MIMAROPA
Narra,Gloria,Oriental Mindoro,MIMAROPA
Papandungin,Gloria,Oriental Mindoro,MIMAROPA
San Antonio,Gloria,Oriental Mindoro,MIMAROPA
Santa Maria,Gloria,Oriental Mindoro,MIMAROPA
Santa Theresa,Gloria,Oriental Mindoro,MIMAROPA
Tambong,Gloria,Oriental Mindoro,MIMAROPA
B. del Mundo,Mansalay,Oriental Mindoro,MIMAROPA
Balugo,Mansalay,Oriental Mindoro,MIMAROPA
Bonbon,Mansalay,Oriental Mindoro,MIMAROPA
Budburan,Mansalay,Oriental Mindoro,MIMAROPA
Cabalwa,Mansalay,Oriental Mindoro,MIMAROPA
Don Pedro,Mansalay,Oriental Mindoro,MIMAROPA
Maliwanag,Mansalay,Oriental Mindoro,MIMAROPA
Manaul,Mansalay,Oriental Mindoro,MIMAROPA
Panaytayan,Mansalay,Oriental Mindoro,MIMAROPA
Poblacion,Mansalay,Oriental Mindoro,MIMAROPA
Roma,Mansalay,Oriental Mindoro,MIMAROPA
Santa Brigida,Mansalay,Oriental Mindoro,MIMAROPA
Santa Maria,Mansalay,Oriental Mindoro,MIMAROPA
Santa Teresita,Mansalay,Oriental Mindoro,MIMAROPA
Villa Celestial,Mansalay,Oriental Mindoro,MIMAROPA
Wasig,Mansalay,Oriental Mindoro,MIMAROPA
Waygan,Mansalay,Oriental Mindoro,MIMAROPA
Adrialuna,Naujan,Oriental Mindoro,MIMAROPA
Andres Ilagan,Naujan,Oriental Mindoro,MIMAROPA
Antipolo,Naujan,Oriental Mindoro,MIMAROPA
Apitong,Naujan,Oriental Mindoro,MIMAROPA
Arangin,Naujan,Oriental Mindoro,MIMAROPA
Aurora,Naujan,Oriental Mindoro,MIMAROPA
Bacungan,Naujan,Oriental Mindoro,MIMAROPA
Bagong Buhay,Naujan,Oriental Mindoro,MIMAROPA
Balite,Naujan,Oriental Mindoro,MIMAROPA
Bancuro,Naujan,Oriental Mindoro,MIMAROPA
Banuton,Naujan,Oriental Mindoro,MIMAROPA
Barcenaga,Naujan,Oriental Mindoro,MIMAROPA
Bayani,Naujan,Oriental Mindoro,MIMAROPA
Buhangin,Naujan,Oriental Mindoro,MIMAROPA
Caburo,Naujan,Oriental Mindoro,MIMAROPA
Concepcion,Naujan,Oriental Mindoro,MIMAROPA
Dao,Naujan,Oriental Mindoro,MIMAROPA
Del Pilar,Naujan,Oriental Mindoro,MIMAROPA
Estrella,Naujan,Oriental Mindoro,MIMAROPA
Evangelista,Naujan,Oriental Mindoro,MIMAROPA
Gamao,Naujan,Oriental Mindoro,MIMAROPA
General Esco,Naujan,Oriental Mindoro,MIMAROPA
Herrera,Naujan,Oriental Mindoro,MIMAROPA
Inarawan,Naujan,Oriental Mindoro,MIMAROPA
Kalinisan,Naujan,Oriental Mindoro,MIMAROPA
Laguna,Naujan,Oriental Mindoro,MIMAROPA
Mabini,Naujan,Oriental Mindoro,MIMAROPA
Magtibay,Naujan,Oriental Mindoro,MIMAROPA
Mahabang Parang,Naujan,Oriental Mindoro,MIMAROPA
Malaya,Naujan,Oriental Mindoro,MIMAROPA
Malinao,Naujan,Oriental Mindoro,MIMAROPA
Malvar,Naujan,Oriental Mindoro,MIMAROPA
Masagana,Naujan,Oriental Mindoro,MIMAROPA
Masaguing,Naujan,Oriental Mindoro,MIMAROPA
Melgar A,Naujan,Oriental Mindoro,MIMAROPA
Melgar B,Naujan,Oriental Mindoro,MIMAROPA
Metolza,Naujan,Oriental Mindoro,MIMAROPA
Montelago,Naujan,Oriental Mindoro,MIMAROPA
Montemayor,Naujan,Oriental Mindoro,MIMAROPA
Motoderazo,Naujan,Oriental Mindoro,MIMAROPA
Mulawin,Naujan,Oriental Mindoro,MIMAROPA
Nag-iba I,Naujan,Oriental Mindoro,MIMAROPA
Nag-iba II,Naujan,Oriental Mindoro,MIMAROPA
Pagkakaisa,Naujan,Oriental Mindoro,MIMAROPA
Paitan,Naujan,Oriental Mindoro,MIMAROPA
Paniquian,Naujan,Oriental Mindoro,MIMAROPA
Pinagsabangan I,Naujan,Oriental Mindoro,MIMAROPA
Pinagsabangan II,Naujan,Oriental Mindoro,MIMAROPA
Piñahan,Naujan,Oriental Mindoro,MIMAROPA
Poblacion I,Naujan,Oriental Mindoro,MIMAROPA
Poblacion II,Naujan,Oriental Mindoro,MIMAROPA
Poblacion III,Naujan,Oriental Mindoro,MIMAROPA
Sampaguita,Naujan,Oriental Mindoro,MIMAROPA
San Agustin I,Naujan,Oriental Mindoro,MIMAROPA
San Agustin II,Naujan,Oriental Mindoro,MIMAROPA
San Andres,Naujan,Oriental Mindoro,MIMAROPA
San Antonio,Naujan,Oriental Mindoro,MIMAROPA
San Carlos,Naujan,Oriental Mindoro,MIMAROPA
San Isidro,Naujan,Oriental Mindoro,MIMAROPA
San Jose,Naujan,Oriental Mindoro,MIMAROPA
San Luis,Naujan,Oriental Mindoro,MIMAROPA
San Nicolas,Naujan,Oriental Mindoro,MIMAROPA
San Pedro,Naujan,Oriental Mindoro,MIMAROPA
Santa Cruz,Naujan,Oriental Mindoro,MIMAROPA
Santa Isabel,Naujan,Oriental Mindoro,MIMAROPA
Santa Maria,Naujan,Oriental Mindoro,MIMAROPA
Santiago,Naujan,Oriental Mindoro,MIMAROPA
Santo Niño,Naujan,Oriental Mindoro,MIMAROPA
Tagumpay,Naujan,Oriental Mindoro,MIMAROPA
Tigkan,Naujan,Oriental Mindoro,MIMAROPA
Anoling,Pinamalayan,Oriental Mindoro,MIMAROPA
Bacungan,Pinamalayan,Oriental Mindoro,MIMAROPA
Bangbang,Pinamalayan,Oriental Mindoro,MIMAROPA
Banilad,Pinamalayan,Oriental Mindoro,MIMAROPA
Buli,Pinamalayan,Oriental Mindoro,MIMAROPA
Cacawan,Pinamalayan,Oriental Mindoro,MIMAROPA
Calingag,Pinamalayan,Oriental Mindoro,MIMAROPA
Del Razon,Pinamalayan,Oriental Mindoro,MIMAROPA
Guinhawa,Pinamalayan,Oriental Mindoro,MIMAROPA
Inclanay,Pinamalayan,Oriental Mindoro,MIMAROPA
Lumangbayan,Pinamalayan,Oriental Mindoro,MIMAROPA
Malaya,Pinamalayan,Oriental Mindoro,MIMAROPA
Maliangcog,Pinamalayan,Oriental Mindoro,MIMAROPA
Maningcol,Pinamalayan,Oriental Mindoro,MIMAROPA
Marayos,Pinamalayan,Oriental Mindoro,MIMAROPA
Marfrancisco,Pinamalayan,Oriental Mindoro,MIMAROPA
Nabuslot,Pinamalayan,Oriental Mindoro,MIMAROPA
Pagalagala,Pinamalayan,Oriental Mindoro,MIMAROPA
Palayan,Pinamalayan,Oriental Mindoro,MIMAROPA
Pambisan Malaki,Pinamalayan,Oriental Mindoro,MIMAROPA
Pambisan Munti,Pinamalayan,Oriental Mindoro,MIMAROPA
Panggulayan,Pinamalayan,Oriental Mindoro,MIMAROPA
Papandayan,Pinamalayan,Oriental Mindoro,MIMAROPA
Pili,Pinamalayan,Oriental Mindoro,MIMAROPA
Quinabigan,Pinamalayan,Oriental Mindoro,MIMAROPA
Ranzo,Pinamalayan,Oriental Mindoro,MIMAROPA
Rosario,Pinamalayan,Oriental Mindoro,MIMAROPA
Sabang,Pinamalayan,Oriental Mindoro,MIMAROPA
Santa Isabel,Pinamalayan,Oriental Mindoro,MIMAROPA
Santa Maria,Pinamalayan,Oriental Mindoro,MIMAROPA
Santa Rita,Pinamalayan,Oriental Mindoro,MIMAROPA
Santo Niño,Pinamalayan,Oriental Mindoro,MIMAROPA
Wawa,Pinamalayan,Oriental Mindoro,MIMAROPA
Zone I,Pinamalayan,Oriental Mindoro,MIMAROPA
Zone II,Pinamalayan,Oriental Mindoro,MIMAROPA
Zone III,Pinamalayan,Oriental Mindoro,MIMAROPA
Zone IV,Pinamalayan,Oriental Mindoro,MIMAROPA
Bacawan,Pola,Oriental Mindoro,MIMAROPA
Bacungan,Pola,Oriental Mindoro,MIMAROPA
Batuhan,Pola,Oriental Mindoro,MIMAROPA
Bayanan,Pola,Oriental Mindoro,MIMAROPA
Biga,Pola,Oriental Mindoro,MIMAROPA
Buhay na Tubig,Pola,Oriental Mindoro,MIMAROPA
Calima,Pola,Oriental Mindoro,MIMAROPA
Calubasanhon,Pola,Oriental Mindoro,MIMAROPA
Campamento,Pola,Oriental Mindoro,MIMAROPA
Casiligan,Pola,Oriental Mindoro,MIMAROPA
Malibago,Pola,Oriental Mindoro,MIMAROPA
Maluanluan,Pola,Oriental Mindoro,MIMAROPA
Matulatula,Pola,Oriental Mindoro,MIMAROPA
Misong,Pola,Oriental Mindoro,MIMAROPA
Pahilahan,Pola,Oriental Mindoro,MIMAROPA
Panikihan,Pola,Oriental Mindoro,MIMAROPA
Pula,Pola,Oriental Mindoro,MIMAROPA
Puting Cacao,Pola,Oriental Mindoro,MIMAROPA
Tagbakin,Pola,Oriental Mindoro,MIMAROPA
Tagumpay,Pola,Oriental Mindoro,MIMAROPA
Tiguihan,Pola,Oriental Mindoro,MIMAROPA
Zone I,Pola,Oriental Mindoro,MIMAROPA
Zone II,Pola,Oriental Mindoro,MIMAROPA
Aninuan,Puerto Galera,Oriental Mindoro,MIMAROPA
Baclayan,Puerto Galera,Oriental Mindoro,MIMAROPA
Balatero,Puerto Galera,Oriental Mindoro,MIMAROPA
Dulangan,Puerto Galera,Oriental Mindoro,MIMAROPA
Palangan,Puerto Galera,Oriental Mindoro,MIMAROPA
Poblacion,Puerto Galera,Oriental Mindoro,MIMAROPA
Sabang,Puerto Galera,Oriental Mindoro,MIMAROPA
San Antonio,Puerto Galera,Oriental Mindoro,MIMAROPA
San Isidro,Puerto Galera,Oriental Mindoro,MIMAROPA
Santo Niño,Puerto Galera,Oriental Mindoro,MIMAROPA
Sinandigan,Puerto Galera,Oriental Mindoro,MIMAROPA
Tabinay,Puerto Galera,Oriental Mindoro,MIMAROPA
Villaflor,Puerto Galera,Oriental Mindoro,MIMAROPA
Bagumbayan,Roxas,Oriental Mindoro,MIMAROPA
Cantil,Roxas,Oriental Mindoro,MIMAROPA
Dangay,Roxas,Oriental Mindoro,MIMAROPA
Happy Valley,Roxas,Oriental Mindoro,MIMAROPA
Libertad,Roxas,Oriental Mindoro,MIMAROPA
Libtong,Roxas,Oriental Mindoro,MIMAROPA
Little Tanauan,Roxas,Oriental Mindoro,MIMAROPA
Mabuhay,Roxas,Oriental Mindoro,MIMAROPA
Maraska,Roxas,Oriental Mindoro,MIMAROPA
Odiong,Roxas,Oriental Mindoro,MIMAROPA
Paclasan,Roxas,Oriental Mindoro,MIMAROPA
San Aquilino,Roxas,Oriental Mindoro,MIMAROPA
San Isidro,Roxas,Oriental Mindoro,MIMAROPA
San Jose,Roxas,Oriental Mindoro,MIMAROPA
San Mariano,Roxas,Oriental Mindoro,MIMAROPA
San Miguel,Roxas,Oriental Mindoro,MIMAROPA
San Rafael,Roxas,Oriental Mindoro,MIMAROPA
San Vicente,Roxas,Oriental Mindoro,MIMAROPA
Uyao,Roxas,Oriental Mindoro,MIMAROPA
Victoria,Roxas,Oriental Mindoro,MIMAROPA
Bigaan,San Teodoro,Oriental Mindoro,MIMAROPA
Caagutayan,San Teodoro,Oriental Mindoro,MIMAROPA
Calangatan,San Teodoro,Oriental Mindoro,MIMAROPA
Calsapa,San Teodoro,Oriental Mindoro,MIMAROPA
Ilag,San Teodoro,Oriental Mindoro,MIMAROPA
Lumangbayan,San Teodoro,Oriental Mindoro,MIMAROPA
Poblacion,San Teodoro,Oriental Mindoro,MIMAROPA
Tacligan,San Teodoro,Oriental Mindoro,MIMAROPA
Bagsok,Socorro,Oriental Mindoro,MIMAROPA
Batong Dalig,Socorro,Oriental Mindoro,MIMAROPA
Bayuin,Socorro,Oriental Mindoro,MIMAROPA
Bugtong na Tuog,Socorro,Oriental Mindoro,MIMAROPA
Calocmoy,Socorro,Oriental Mindoro,MIMAROPA
Calubayan,Socorro,Oriental Mindoro,MIMAROPA
Catiningan,Socorro,Oriental Mindoro,MIMAROPA
Fortuna,Socorro,Oriental Mindoro,MIMAROPA
Happy Valley,Socorro,Oriental Mindoro,MIMAROPA
Leuteboro I,Socorro,Oriental Mindoro,MIMAROPA
Leuteboro II,Socorro,Oriental Mindoro,MIMAROPA
Ma. Concepcion,Socorro,Oriental Mindoro,MIMAROPA
Mabuhay I,Socorro,Oriental Mindoro,MIMAROPA
Mabuhay II,Socorro,Oriental Mindoro,MIMAROPA
Malugay,Socorro,Oriental Mindoro,MIMAROPA
Matungao,Socorro,Oriental Mindoro,MIMAROPA
Monteverde,Socorro,Oriental Mindoro,MIMAROPA
Pasi I,Socorro,Oriental Mindoro,MIMAROPA
Pasi II,Socorro,Oriental Mindoro,MIMAROPA
Santo Domingo,Socorro,Oriental Mindoro,MIMAROPA
Subaan,Socorro,Oriental Mindoro,MIMAROPA
Villareal,Socorro,Oriental Mindoro,MIMAROPA
Zone I,Socorro,Oriental Mindoro,MIMAROPA
Zone II,Socorro,Oriental Mindoro,MIMAROPA
Zone III,Socorro,Oriental Mindoro,MIMAROPA
Zone IV,Socorro,Oriental Mindoro,MIMAROPA
Alcate,Victoria,Oriental Mindoro,MIMAROPA
Antonino,Victoria,Oriental Mindoro,MIMAROPA
Babangonan,Victoria,Oriental Mindoro,MIMAROPA
Bagong Buhay,Victoria,Oriental Mindoro,MIMAROPA
Bagong Silang,Victoria,Oriental Mindoro,MIMAROPA
Bambanin,Victoria,Oriental Mindoro,MIMAROPA
Bethel,Victoria,Oriental Mindoro,MIMAROPA
Canaan,Victoria,Oriental Mindoro,MIMAROPA
Concepcion,Victoria,Oriental Mindoro,MIMAROPA
Duongan,Victoria,Oriental Mindoro,MIMAROPA
Jose Leido Jr.,Victoria,Oriental Mindoro,MIMAROPA
Loyal,Victoria,Oriental Mindoro,MIMAROPA
Mabini,Victoria,Oriental Mindoro,MIMAROPA
Macatoc,Victoria,Oriental Mindoro,MIMAROPA
Malabo,Victoria,Oriental Mindoro,MIMAROPA
Merit,Victoria,Oriental Mindoro,MIMAROPA
Ordovilla,Victoria,Oriental Mindoro,MIMAROPA
Pakyas,Victoria,Oriental Mindoro,MIMAROPA
Poblacion I,Victoria,Oriental Mindoro,MIMAROPA
Poblacion II,Victoria,Oriental Mindoro,MIMAROPA
Poblacion III,Victoria,Oriental Mindoro,MIMAROPA
Poblacion IV,Victoria,Oriental Mindoro,MIMAROPA
Sampaguita,Victoria,Oriental Mindoro,MIMAROPA
San Antonio,Victoria,Oriental Mindoro,MIMAROPA
San Cristobal,Victoria,Oriental Mindoro,MIMAROPA
San Gabriel,Victoria,Oriental Mindoro,MIMAROPA
San Gelacio,Victoria,Oriental Mindoro,MIMAROPA
San Isidro,Victoria,Oriental Mindoro,MIMAROPA
San Juan,Victoria,Oriental Mindoro,MIMAROPA
San Narciso,Victoria,Oriental Mindoro,MIMAROPA
Urdaneta,Victoria,Oriental Mindoro,MIMAROPA
Villa Cerveza,Victoria,Oriental Mindoro,MIMAROPA
